,0
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie) Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV"
136,"Trance (with Travis Scott & Young Thug) Travis Scott, Young Thug, Metro Boomin"
137,"Tere Vaaste (From ""Zara Hatke Zara Bachke"") Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain"
138,Perfect Ed Sheeran
139,Romantic Homicide d4vd
140,Believer Imagine Dragons
141,"Novo Balanï¿½ Veigh, Bvga Beatz, Supernova Ent, Prod Malax"
142,"Gol Bolinha, Gol Quadrado 2 Mc Pedrinho, DJ 900"
143,Without Me Eminem
144,"QUEMA Sog, Ryan Castro, Peso Pluma"
145,"Stargirl Interlude The Weeknd, Lana Del Rey"
146,"Ojitos Lindos Bomba Estï¿½ï¿½reo, Bad B"
147,Somewhere Only We Know Keane
148,Those Eyes New West
149,El Gordo Trae El Mando Chino Pacas
150,Mi Bello Angel Natanael Cano
151,Bye Peso Pluma
152,"Danza Kuduro Don Omar, Lucenzo"
153,"Nosso Quadro Ana Castela, AgroPlay"
154,Locked Out Of Heaven Bruno Mars
155,"Un Finde | CROSSOVER #2 Big One, FMK, Ke personajes"
156,"Jimmy Cooks (feat. 21 Savage) Drake, 21 Savage"
157,Counting Stars OneRepublic
158,Ghost Justin Bieber
159,Under The Influence Chris Brown
160,"PRC Natanael Cano, Peso Pluma"
161,Gasolina Daddy Yankee
162,"One Dance Drake, WizKid, Kyla"
163,Enchanted Taylor Swift
164,Save Your Tears The Weeknd
165,Sure Thing Miguel
166,Every Breath You Take - Remastered 2003 The Police
167,The Night We Met Lord Huron
168,"We Found Love Rihanna, Calvin Harris"
169,When I Was Your Man Bruno Mars
170,Let Me Down Slowly Alec Benjamin
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee) A$AP Rocky, Metro Boomin, Roisee"
172,Do I Wanna Know? Arctic Monkeys
173,Demons Imagine Dragons
174,ýýýýýýýýýýýý YOASOBI
175,Reminder The Weeknd
176,Shake It Off Taylor Swift
177,Why'd You Only Call Me When You're High? Arctic Monkeys
178,SNAP Rosa Linn
179,Shape of You Ed Sheeran
180,Night Changes One Direction
181,"Fin de Semana Oscar Maydon, Junior H"
182,Creep Radiohead
183,Car's Outside James Arthur
184,Apocalypse Cigarettes After Sex
185,Cheques Shubh
186,Pink + White Frank Ocean
187,Circles Post Malone
188,Just The Way You Are Bruno Mars
189,Take Me To Church Hozier
190,"Bebe Dame Fuerza Regida, Grupo Frontera"
191,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve Taylor Swift
192,Titi Me Preguntï¿ Bad Bunny
193,Better Than Revenge (Taylor's Version) Taylor Swift
194,Shut up My Moms Calling Hotel Ugly
195,Have You Ever Seen The Rain? Creedence Clearwater Revival
196,Es un Secreto Plan B
197,"POLARIS - Remix Feid, Mora, Saiko, Quevedo"
198,Ditto NewJeans
199,Take On Me a-ha
200,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset) Swae Lee, Lil Wayne, Offset, Metro Boomin"
201,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long) Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin"
202,Acrï¿½ï¿½s Shakira
203,"AMG Natanael Cano, Gabito Ballesteros, Peso Pluma"
204,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"") Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya"
205,S-Class Stray Kids
206,Hits Different Taylor Swift
207,"Chanel Becky G, Peso Pluma"
208,"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray) Metro Boomin, Coi Leray"
209,"Area Codes Kaliii, Kaliii"
210,"Abcdario Junior H, Eden Muï¿½ï"
211,"Obsessed Abhijay Sharma, Riar Saab"
212,"Piï¿½ï¿½man Deï¿ Semicenk, Doï¿½ï¿½u "
213,FLOWER JISOO
214,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert) Future, Lil Uzi Vert, Metro Boomin"
215,Eyes Closed Ed Sheeran
216,"Escapism. RAYE, 070 Shake"
217,"La Jumpa Arcangel, Bad Bunny"
218,"Karma (feat. Ice Spice) Taylor Swift, Ice Spice"
219,"Superhero (Heroes & Villains) [with Future & Chris Brown] Future, Chris Brown, Metro Boomin"
220,"Las Morras BLESSD, Peso Pluma"
221,CHORRITO PA LAS ANIMAS Feid
222,"Ch y la Pizza Fuerza Regida, Natanael Cano"
223,"Snow On The Beach (feat. More Lana Del Rey) Lana Del Rey, Taylor Swift"
224,Players Coi Leray
225,Bite Me ENHYPEN
226,"Stand By Me (feat. Morgan Wallen) Lil Durk, Morgan Wallen"
227,Normal Feid
228,"Hummingbird (Metro Boomin & James Blake) James Blake, Metro Boomin"
229,"Seu Brilho Sumiu - Ao Vivo Israel & Rodolffo, Mari Fernandez"
230,Bad Habit Steve Lacy
231,CUFF IT Beyoncï¿
232,"Lilith (feat. SUGA of BTS) (Diablo IV Anthem) Halsey, Suga"
233,"69 Nicky Jam, Feid"
234,"Niï¿½ï¿½a Bo Sean Paul, Feid"
235,Search & Rescue Drake
236,"AMERICA HAS A PROBLEM (feat. Kendrick Lamar) Kendrick Lamar, Beyoncï¿"
237,Lavender Haze Taylor Swift
238,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse ) WizKid, Toian, Metro Boomin, Don Toliver, Beam"
239,Efecto Bad Bunny
240,Erro Gostoso - Ao Vivo Simone Mendes
241,Cupido Tini
242,Just Wanna Rock Lil Uzi Vert
243,Unstoppable Sia
244,Until I Found You Stephen Sanchez
245,"Rich Flex Drake, 21 Savage"
246,Easy On Me Adele
247,"Cartï¿½ï¿½o B MC Caverinha, KayBlack"
248,"Danger (Spider) (Offset & JID) Offset, JID"
249,Oi Balde - Ao Vivo Zï¿½ï¿½ Neto & Crist
250,The Real Slim Shady Eminem
251,"MERCHO Migrantes, LiL CaKe, Nico Valdi"
252,The Color Violet Tory Lanez
253,Glimpse of Us Joji
254,"Mejor Que Yo Mambo Kingz, DJ Luian, Anuel Aa"
255,Curtains Ed Sheeran
256,"UNFORGIVEN (feat. Nile Rodgers) Nile Rodgers, LE SSERAFIM"
257,Haegeum Agust D
258,"Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich  Rich The Kid, Matuï¿"
259,MIENTRAS ME CURO DEL CORA Karol G
260,Never Felt So Alone Labrinth
261,"X SI VOLVEMOS Karol G, Romeo Santos"
262,ceilings Lizzy McAlpine
263,Cupid Fifty Fifty
264,I AM IVE
265,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe sped up 8282
266,"Shorty Party Cartel De Santa, La Kelly"
267,Super SEVENTEEN
268,Slut Me Out NLE Choppa
269,"Double Fantasy (with Future) The Weeknd, Future"
270,All Of The Girls You Loved Before Taylor Swift
271,PROVENZA Karol G
272,"Princess Diana (with Nicki Minaj) Nicki Minaj, Ice Spice"
273,"Di Que Si Grupo Marca Registrada, Grupo Frontera"
